Date,Time,Temperature(C),Humidity(%),GPOA(W/M2),EDS/CTRL(#),Voc_Before(V),Voc_After(V),Isc_Before(A),Isc_After(A),Pout_Before(W),Pout_After(W),PR_Before,PR_After,SR_Before,SR_After
5/7/2020,13:2:3,Error,Error,32.168,CTRL2,18.35,N/A,0.15,N/A,2.75,N/A,7.12,N/A,6.86,N/A
5/8/2020,10:0:1,Error,Error,24.087,EDS4,18.66,18.53,0.1,0.12,1.87,2.22,6.47,7.68,6.11,7.33
5/8/2020,10:1:50,Error,Error,23.342,CTRL1,18.16,N/A,0.1,N/A,1.82,N/A,6.5,N/A,6.3,N/A
5/8/2020,10:2:4,Error,Error,23.349,CTRL2,17.79,N/A,0.13,N/A,2.31,N/A,8.24,N/A,8.19,N/A
5/8/2020,11:0:1,Error,Error,33.68,EDS5,18.23,18.1,0.1,0.13,1.82,2.35,4.5,5.81,4.37,5.68
5/8/2020,11:1:49,Error,Error,34.747,CTRL1,18.53,N/A,0.13,N/A,2.41,N/A,5.78,N/A,5.5,N/A
5/8/2020,11:2:3,Error,Error,34.895,CTRL2,18.59,N/A,0.18,N/A,3.35,N/A,8.0,N/A,7.59,N/A
5/8/2020,11:41:1,Error,Error,41.459,EDS1,18.72,18.66,0.1,0.11,1.87,2.05,3.76,4.12,3.55,3.9
5/8/2020,11:42:49,Error,Error,40.913,CTRL1,18.72,N/A,0.13,N/A,2.43,N/A,4.95,N/A,4.67,N/A
5/8/2020,11:43:4,Error,Error,40.829,CTRL2,18.78,N/A,0.18,N/A,3.38,N/A,6.9,N/A,6.48,N/A
5/8/2020,12:0:0,Error,Error,41.156,EDS3,18.59,18.59,0.1,0.11,1.86,2.04,3.77,4.13,3.57,3.93
5/8/2020,12:1:49,Error,Error,41.962,CTRL1,18.84,N/A,0.13,N/A,2.45,N/A,4.87,N/A,4.56,N/A
5/8/2020,12:2:3,Error,Error,42.343,CTRL2,18.9,N/A,0.16,N/A,3.02,N/A,5.94,N/A,5.56,N/A
5/8/2020,13:0:1,Error,Error,44.064,EDS2,18.35,18.47,0.1,0.13,1.84,2.4,3.48,4.54,3.34,4.34
5/8/2020,13:1:49,Error,Error,45.244,CTRL1,18.9,N/A,0.15,N/A,2.83,N/A,5.21,N/A,4.88,N/A
5/8/2020,13:2:3,Error,Error,45.117,CTRL2,19.09,N/A,0.22,N/A,4.2,N/A,7.76,N/A,7.17,N/A
5/9/2020,10:0:1,Error,Error,19.829,EDS4,18.41,18.59,0.06,0.09,1.1,1.67,4.62,7.02,4.45,6.67
5/9/2020,10:1:49,Error,Error,21.932,CTRL1,18.04,N/A,0.08,N/A,1.44,N/A,5.47,N/A,5.36,N/A
5/9/2020,10:2:4,Error,Error,22.23,CTRL2,18.04,N/A,0.12,N/A,2.16,N/A,8.1,N/A,7.94,N/A
5/9/2020,11:41:1,Error,Error,34.741,EDS1,18.59,18.41,0.09,0.09,1.67,1.66,4.01,3.98,3.81,3.81
5/9/2020,11:42:49,Error,Error,31.106,CTRL1,18.47,N/A,0.11,N/A,2.03,N/A,5.44,N/A,5.2,N/A
5/9/2020,11:43:3,Error,Error,33.954,CTRL2,18.59,N/A,0.16,N/A,2.97,N/A,7.29,N/A,6.93,N/A
5/9/2020,13:0:1,Error,Error,24.472,EDS2,17.73,17.73,0.07,0.08,1.24,1.42,4.22,4.84,4.21,4.81
5/9/2020,13:1:49,Error,Error,30.503,CTRL1,18.53,N/A,0.12,N/A,2.22,N/A,6.06,N/A,5.79,N/A
5/9/2020,13:2:3,Error,Error,25.234,CTRL2,18.16,N/A,0.13,N/A,2.36,N/A,7.79,N/A,7.58,N/A
5/10/2020,10:0:2,Error,Error,11.899,EDS4,17.61,17.67,0.05,0.07,0.88,1.24,6.16,8.68,6.18,8.65
5/10/2020,10:1:50,Error,Error,11.932,CTRL1,17.24,N/A,0.07,N/A,1.21,N/A,8.45,N/A,8.63,N/A
5/10/2020,10:2:4,Error,Error,12.383,CTRL2,16.75,N/A,0.08,N/A,1.34,N/A,9.02,N/A,9.5,N/A
5/10/2020,11:0:1,Error,Error,30.177,EDS5,18.1,17.92,0.09,0.12,1.63,2.15,4.5,5.94,4.39,5.85
5/10/2020,11:1:49,Error,Error,26.792,CTRL1,18.29,N/A,0.11,N/A,2.01,N/A,6.25,N/A,6.04,N/A
5/10/2020,11:2:4,Error,Error,26.827,CTRL2,18.23,N/A,0.13,N/A,2.37,N/A,7.36,N/A,7.13,N/A
5/10/2020,11:41:0,Error,Error,38.833,EDS1,18.78,18.47,0.09,0.11,1.69,2.03,3.63,4.36,3.41,4.17
5/10/2020,11:42:49,Error,Error,34.257,CTRL1,18.66,N/A,0.13,N/A,2.43,N/A,5.91,N/A,5.58,N/A
5/10/2020,11:43:3,Error,Error,37.519,CTRL2,18.78,N/A,0.2,N/A,3.76,N/A,8.35,N/A,7.84,N/A
5/10/2020,13:0:1,Error,Error,40.464,EDS2,18.23,18.53,0.1,0.16,1.82,2.96,3.75,6.1,3.63,5.81
5/10/2020,13:1:49,Error,Error,41.589,CTRL1,18.9,N/A,0.13,N/A,2.46,N/A,4.93,N/A,4.6,N/A
