,Date,Time,EDS(#),Temperature(C),Humidity(%),GPOA(W/M2),OCV_Before(V),OCV_After(V),SCC_Before(A),SCC_After(A),EDS_PWR_Before(W),EDS_PWR_After(W),EDS_PR_Before,EDS_PR_After,EDS_SR_Before,EDS_SR_After
0,1/21/2020-1/22/2020,14:23:07,1,24.8,18.95,-1.0,0.307863438,0.307863438,0.030796817999999997,0.030796817999999997,0.0046444925,0.0046444925,-1.0,-1.0,-1.0,-1.0
1,1/23/2020-1/24/2020,13:30:32,1,25.25,17.5,-1.0,0.277077094,0.307863438,0.030796817999999997,0.030796817999999997,0.003351362,0.004019714000000001,-1.0,-1.0,-1.0,-1.0
2,1/25/2020-1/26/2020,12:36:01,1,31.65,21.55,-1.0,0.307863438,0.307863438,0.030796817999999997,0.025664015,0.004095606999999999,0.0034206124999999997,-1.0,-1.0,-1.0,-1.0
3,1/27/2020-1/28/2020,12:30:41,1,30.15,18.5,-1.0,0.307863438,0.307863438,0.030796817999999997,0.025664015,0.0037087385000000002,0.0030337440000000005,-1.0,-1.0,-1.0,-1.0
4,1/29/2020-1/30/2020,12:36:01,1,29.0,21.05,-1.0,0.307863438,0.307863438,0.030796817999999997,0.030796817999999997,0.0037543775,0.0037543775,-1.0,-1.0,-1.0,-1.0
5,1/31/2020-2/1/2020,12:36:01,1,31.65,11.25,-1.0,0.307863438,0.307863438,0.030796817999999997,0.025664015,0.004095606999999999,0.0034206124999999997,-1.0,-1.0,-1.0,-1.0
6,2/2/2020-2/3/2020,12:41:21,1,31.0,22.1,-1.0,0.307863438,0.307863438,0.030796817999999997,0.030796817999999997,0.0041412459999999995,0.0041412459999999995,-1.0,-1.0,-1.0,-1.0
7,2/4/2020-2/5/2020,12:41:21,1,31.0,22.1,-1.0,0.307863438,0.307863438,0.030796817999999997,0.030796817999999997,0.0041412459999999995,0.0041412459999999995,-1.0,-1.0,-1.0,-1.0
